section,parent,paid,share_of_all,type,employees,hq,evidence,payees_on_990,employee_source,notes,eric_ok
1: $1M+,"Paycor, Inc. (Paycor HCM, Inc.)",3346355,0.29%,business,500-4999,OH,A,PAYCOR INC,https://www.sec.gov/Archives/edgar/data/1839439/000183943921000011/pycr-20210630.htm,"Paycor's first 10-K (FY ended June 30, 2021) reports 2,067 associates and Cincinnati headquarters; Form 5500 shows 2,069 participants in 2019. During the FY2020 grant Paycor was majority owned by private equity firm Apax Partners (acquired Nov 2018), and it went public in July 2021.",
1: $1M+,"Breeze Aviation Group, Inc.",3318587,0.28%,business,500-4999,UT,C,BREEZE AVIATION GROUP,https://en.wikipedia.org/wiki/Breeze_Airways,"Breeze Airways, founded by David Neeleman in 2018 and based in Cottonwood Heights, Utah, began flying in May 2021; Form 5500 shows 1,025 plan participants in 2023 and the airline reports about 2,262 employees in 2026. The grants are JobsOhio Air Service Restoration payments for routes at Akron-Canton, not a plant or office project. Graded C: Wikipedia is the only source.",
1: $1M+,American Nitrile LLC,3303561,0.28%,business,100-499,OH,C,AMERICAN NITRILE OPERATIONS LLC,https://abc6onyourside.com/news/local/american-nitrile-plant-ppe-factory-produce-medical-gloves-bring-hundreds-of-jobs-to-grove-city-central-ohio-founder-jacob-block-3-9-2022,"Privately held glove startup founded in Grove City in 2021 by Jacob Block, financed with $105 million from Orion Infrastructure Capital, and the first pre-revenue company to get a JobsOhio grant ($3.5 million committed). It planned 400 jobs, but Form 5500 shows only 33 plan participants in 2023, so actual headcount in the grant years may have been under 100.",
1: $1M+,Dana Incorporated,3250000,0.28%,business,5000+,OH,C,DANA LIGHT AXLE MANUFACTURING LLC | DANA LIMITED,"Wikipedia: ""the company employs nearly 28,000 people in 33 countries"" (Dana Incorporated, Fortune 500, NYSE: DAN) | https://www.sec.gov/Archives/edgar/data/26780/000002678019000004/dan-20181231x10k.htm","Dana Light Axle Manufacturing LLC is a subsidiary of publicly traded Dana Incorporated, headquartered in Maumee, Ohio, with about 28,000 employees worldwide. Dana was founded in 1904 (not in Ohio), well ahead of the 2019 grant year. Graded C: Wikipedia is the only source. | Dana Limited is a subsidiary of Dana Incorporated (NYSE: DAN), headquartered in Maumee, whose 2018 10-K reports approximately 30,900 employees. The 10-K traces the business to 1904 but does not name the founding city.",
1: $1M+,"City of Springfield, Ohio",3126105,0.27%,government,500-4999,OH,D,CITY OF SPRINGFIELD OHIO,https://www.jobsohio.com/industries/advanced-aerospace-defense/advanced-air-mobility,"Municipal government; grants were an Aerospace and Defense Opportunity Grant and OSIP money for the National Advanced Air Mobility Center of Excellence and related infrastructure at Springfield-Beckley Municipal Airport. City workforce is in the several hundreds, but no published headcount was found on the city site or in JobsOhio materials.",
1: $1M+,ALTIVIA Corporation,3100000,0.26%,business,100-499,TX,C,ALTIVIA PETROCHEMICALS LLC,https://www.linkedin.com/company/altivia-corporation,"Altivia Petrochemicals is a unit of privately owned ALTIVIA of Houston (founded 1986), which bought the Haverhill phenol plant in 2015; JobsOhio counted 137 retained jobs there and LinkedIn lists about 220 employees company-wide. Form 5500 shows 418 participants at the petrochemicals unit in 2023, so total headcount across ALTIVIA's seven units could be near 500.",
1: $1M+,"Total Quality Logistics, LLC",3050000,0.26%,business,5000+,OH,B,TOTAL QUALITY LOGISTICS LLC,https://www.jobsohio.com/newsroom/ohio-success/total-quality-logistics-continues-to-invest-millions-in-ohio,"Privately held freight brokerage founded in Cincinnati in 1997 by Ken Oaks and headquartered in Union Township, Clermont County; JobsOhio's 2022 release puts headcount over 9,000 after 49 percent growth in 2021, implying roughly 6,000 in 2020. JobsOhio counted 2,623 retained Ohio jobs.",
1: $1M+,"Medpace Holdings, Inc.",3000000,0.26%,business,500-4999,OH,A,MEDPACE INC,https://www.sec.gov/Archives/edgar/data/1668397/000156459020006385/medp-10k_20191231.htm,"Medpace's 2019 10-K reports approximately 3,500 employees worldwide and Cincinnati headquarters; founded there in 1992 by August Troendle. Form 5500 shows 2,189 participants in 2019 and 3,462 in 2023, and JobsOhio counted 1,916 retained Ohio jobs.",
1: $1M+,"Nippon Sheet Glass Co., Ltd. (NSG Group)",3000000,0.26%,business,5000+,Japan,C,NSG GLASS NORTH AMERICA INC,https://en.wikipedia.org/wiki/Nippon_Sheet_Glass,"NSG Glass North America Inc. is the U.S. subsidiary that built the Luckey/Troy Township float and TCO glass plant (announced Oct 2018, opened Nov 2020, 125-150 jobs) to supply First Solar. Parent NSG Group is Tokyo-based with 25,356 employees as of March 2024 (higher, around 27,000, in the 2019-2021 grant years); it acquired Ohio-rooted Pilkington North America in 2006. Graded C: Wikipedia is the only source.",
1: $1M+,United States Steel Corp. and Kobe Steel Ltd. (50/50 joint venture),3000000,0.26%,business,5000+,PA,A,PRO-TEC COATING COMPANY LLC,https://en.wikipedia.org/wiki/U.S._Steel,"PRO-TEC is a 50/50 JV of U.S. Steel (Pittsburgh, PA) and Kobe Steel (Kobe, Japan) per U.S. Steel's SEC exhibit on the $400M Leipsic galvanizing line that started up in 2019; neither partner alone controls, so PA is the U.S. partner's HQ and Japan is the other half. Both parents have tens of thousands of employees (U.S. Steel about 22,000-28,000; Kobe Steel about 38,000); the JV itself reported 397 Form 5500 participants in 2019 and 310 retained jobs.",
1: $1M+,Adams County Community Improvement Corporation,2984174,0.25%,nonprofit,<100,OH,B,ADAMS COUNTY CIC,https://www.adamscountyohecd.com/adams-county-community-improvement-corporation-cic-receives-4-2-million-jobsohio-grant-to-develop-the-winchester-industrial-park-and-attract-new-business/,"County community improvement corporation (a nonprofit economic development corporation under Ohio law) that received a $4.2M JobsOhio site grant through the JobsOhio-Ohio Southeast Site Initiative/OSIP to build water, sewer and a road for the Winchester Industrial Park. Staffed by the county's economic development office, so headcount is a handful; no employee figure is published.",
1: $1M+,Geis Companies,2900000,0.25%,site_development,100-499,OH,C,ROUTE 43 NORTH | SFG GEIS SHALERSVILLE LLC,https://www.geiscompanies.com/about | https://www.linkedin.com/company/geis-companies,"Project LLC for the 1-million-square-foot spec building at Turnpike Commerce Center in Shalersville, developed by Geis Companies (Streetsboro, OH, founded 1967) with capital partner Stonemont Financial Group (SFG, Atlanta); REjournals reports the project received a JobsOhio OSIP grant. LinkedIn lists Geis at 501-1,000 employees, a self-reported range. | Route 43 North LLC is the Geis Companies project vehicle for spec industrial buildings along State Route 43 in Streetsboro (Gateway Commerce Cen",
1: $1M+,Canon Inc.,2700001,0.23%,business,5000+,Japan,C,QUALITY ELECTRODYNAMICS LLC,https://en.wikipedia.org/wiki/Canon_Inc.,"Canon Inc. (Tokyo, about 184,000 employees in 2021) bought 70% of QED on Oct 31, 2019 and consolidates it, covering the 2021 and 2022 grants; the 2018 grant predates the sale, when QED was founder-owned with about 175 employees. QED itself was founded in Mayfield Village in 2006 by Hiroyuki Fujita, who kept the remaining 30%. Graded C: Wikipedia is the only source.",
1: $1M+,Pella Corporation,2600000,0.22%,business,5000+,IA,C,PELLA CORPORATION,https://en.wikipedia.org/wiki/Pella_Corporation,"Privately held window and door maker founded 1925 in Pella, Iowa, with about 7,000 employees (2019) to 10,000 nationwide; its own Form 5500 plan shows 8,521 participants in 2019 and 11,593 in 2023, consistent with 5000+. The grant supported a new Troy, Ohio manufacturing plant. Graded C: Wikipedia is the only source.",
1: $1M+,Kaufman Development,2550000,0.22%,site_development,<100,OH,C,GRAVITY 2 - OFFICE LLC | The Gravity Project LLC,https://columbusunderground.com/gravity-2-0-has-new-owner-name-bw1/ | https://www.linkedin.com/company/kaufman-development,"Project LLC for Gravity, Kaufman Development's mixed-use project at 500 W. Broad St. in Franklinton; the 990 lists the LLC at 30 Warren St., Columbus, which is Kaufman Development's office, and JobsOhio's 2017 metrics show a $1.2M Revitalization Grant plus a $2.8M loan on a $20.6M investment. Kaufman is a private Columbus developer founded 2011 that LinkedIn now lists at 51-200 employees, so the 2018 bucket is a judgment call at the boundary. | Project LLC for the office component of Gravity 2.0",
1: $1M+,"Hyland Software, Inc. (majority owned by Thoma Bravo)",2500001,0.21%,business,500-4999,OH,B,HYLAND SOFTWARE INC,https://topworkplaces.com/company/hyland-software-inc/,"Founded 1991 and headquartered in Westlake; private equity firm Thoma Bravo has been majority owner since 2007. Form 5500 participants were 3,242 in 2019 and Top Workplaces lists about 3,500 US employees, so the company was under 5,000 in the 2018-2020 grant years (it reached roughly 5,000 by 2023, when it cut 1,000 jobs).",
1: $1M+,Abbott Laboratories,2500000,0.21%,business,5000+,IL,A,ABBOTT LABORATORIES,https://www.sec.gov/Archives/edgar/data/1800/000162828024005348/abt-20231231.htm,"Public company headquartered in Abbott Park, Illinois; its FY2023 10-K reports approximately 114,000 employees, 69% outside the U.S. The Ohio grants relate to the Columbus nutrition plant (428 retained jobs per JobsOhio metrics).",
1: $1M+,Sofidel S.p.A. (Sofidel Group; Stefani and Lazzareschi families),2400000,0.20%,business,5000+,Italy,C,SOFIDEL AMERICA CORP,https://en.wikipedia.org/wiki/Sofidel_Group,"Sofidel America Corp. is the U.S. arm of the family-owned Sofidel Group of Porcari, Italy, which had more than 6,400 employees around 2019 (6,900 by 2023); the Circleville tissue plant opened Oct 2018 as the group's largest. The U.S. entity's own Form 5500 plan grew from 347 participants (2015) to 1,244 (2019).",
1: $1M+,AMG Advanced Metallurgical Group N.V.,2400000,0.20%,business,500-4999,Netherlands,A,AMG VANADIUM LLC,https://www.globenewswire.com/en/news-release/2021/03/11/2191615/0/en/AMG-Advanced-Metallurgical-Group-N-V-Publishes-2020-Annual-Report.html,"AMG Vanadium LLC (Cambridge, OH, about 155 employees) is a wholly owned subsidiary of Amsterdam-listed AMG Advanced Metallurgical Group N.V., whose 2020 annual report states approximately 3,000 employees worldwide. The grant supported the $300M second plant in Zanesville.",
1: $1M+,Tractor Supply Company,2350000,0.20%,site_development,5000+,TN,A,NAVARRE FACILITY LLC | TRACTOR SUPPLY COMPANY,https://www.sec.gov/Archives/edgar/data/916365/000091636521000052/tsco-20201226.htm | https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&company=tractor+supply&type=10-K&output=atom,"Navarre Facility LLC is the project entity for Tractor Supply Co.'s (Nasdaq: TSCO) distribution center in Navarre, per the company's own opening announcement found in search; Tractor Supply is headquartered in Brentwood, TN, with tens of thousands of employees. | Tractor Supply's FY2020 10-K (Brentwood, TN) reports about 20,000 full-time and 21,000 part-time team members as of December 26, 2020. JobsOhio metrics show a Logistics and Distribution project with 0 jobs retained, consistent with the ",
1: $1M+,Western Reserve Port Authority,2349478,0.20%,government,<100,OH,C,WESTERN RESERVE PORT AUTHORITY,https://codes.ohio.gov/ohio-revised-code/chapter-4582,Port authority created under Ohio Revised Code Chapter 4582 with board members appointed by the Mahoning and Trumbull county commissioners; it owns the Youngstown-Warren Regional Airport and received OSIP spec-building and aerospace grants. A political subdivision with a small staff; no employee count published.,
1: $1M+,"Sarepta Therapeutics, Inc.",2348087,0.20%,business,500-4999,MA,B,SAREPTA THERAPEUTICS,https://stockanalysis.com/stocks/srpt/employees/,"Public biotech headquartered in Cambridge, MA (FY2022 10-K); 10-K-derived headcounts were 840 (2021), 1,162 (2022) and 1,314 (2023), with 575 Form 5500 participants in 2019 and 1,415 in 2023. The grants supported its Columbus gene therapy facilities (138 retained jobs).",
1: $1M+,Athens County Port Authority,2313600,0.20%,government,<100,OH,C,ATHENS COUNTY PORT AUTHORITY,https://codes.ohio.gov/ohio-revised-code/chapter-4582,"County port authority, a political subdivision organized under Ohio Revised Code Chapter 4582, used as the public vehicle for JobsOhio site grants in Athens County. No project release or staffing figure was found online (searched OhioSE, JobsOhio and Athens news sites); a small-staff public body regardless.",
1: $1M+,CareSource (nonprofit managed care organization),2300000,0.20%,nonprofit,500-4999,OH,C,CARESOURCE MANAGEMENT SERVICES LLC,https://en.wikipedia.org/wiki/CareSource,"CareSource Management Services LLC is the management subsidiary of CareSource, a Dayton nonprofit Medicaid/Medicare health plan founded in 1989 with about 4,500 employees and $11.8B revenue in 2020 (Form 5500 sponsor CareSource Management Group had 4,622 participants in 2019). Classed nonprofit rather than hospital because it is an insurer, not a health system. Graded C: Wikipedia is the only source.",
1: $1M+,"Babcock & Wilcox Enterprises, Inc.",2272675,0.19%,business,500-4999,OH,A,THE BABCOCK & WILCOX COMPANY,https://www.sec.gov/Archives/edgar/data/1630805/000163080521000004/bw-20201231.htm,"NYSE-listed B&W moved its headquarters from Charlotte to Akron on Dec 30, 2019 (the Charlotte address in the 990 is the old one), and its FY2020 10-K reports approximately 2,100 employees worldwide. Form 5500 participants (7,259 in 2019) run far above headcount because they include retirees and former employees of the much larger pre-2015 company.",
1: $1M+,"JAC Products, Inc. (privately held)",2270325,0.19%,business,500-4999,MI,B,JAC PRODUCTS INC,https://archive.businessviewmagazine.com/jac-products-inc/,"Private automotive roof-rack maker headquartered in Saline, Michigan (technical center in Pontiac) with about 1,500 North American employees in 2015 and 1,910 Form 5500 participants in 2019; the Ohio project is a Napoleon, OH plant. Ownership has been reported as venture/private capital in the past, but no current owner filing was found.",
1: $1M+,Crown Equipment Corporation (Dicke family),2229000,0.19%,business,5000+,OH,C,CROWN EQUIPMENT CORPORATION,https://en.wikipedia.org/wiki/Crown_Equipment_Corporation,"Family-owned lift truck maker founded 1945 in New Bremen, Ohio, with about 20,900 employees worldwide today and 11,737 Form 5500 participants in 2019; JobsOhio counts 4,348 retained Ohio jobs. Fourth generation of the Dicke family still leads it. Graded C: Wikipedia is the only source.",
1: $1M+,Xellia Pharmaceuticals ApS (wholly owned by Novo Holdings A/S),2200000,0.19%,business,500-4999,Denmark,B,XELLIA PHARMACEUTICALS USA LLC,https://www.biospace.com/xellia-pharmaceuticals-cleveland-ohio-manufacturing-facility-commercially-operational-for-production-of-key-anti-infective-drug-products-for-us-hospitals-and-patients,"Copenhagen-based anti-infectives maker with over 1,800 employees globally (2021) and more than 300 at the Bedford, Ohio plant it bought from Boehringer Ingelheim in 2015; wholly owned since 2013 by Novo Holdings A/S, the Novo Nordisk Foundation's investment arm. Form 5500 participants at the U.S. entity were 419 in 2019.",
1: $1M+,"Caldwell Mobile Home Sales, Inc. / Crock Construction (family-owned)",2065524,0.18%,site_development,<100,OH,D,CALDWELL MOBILE HOME SALES INC,https://www.jobsohio.com/newsroom/news-press/new-business-park-in-noble-county-announces-4-8-million-investment,"Landowner and developer of the Caldwell East of I-77 Business Park in Noble County, funded with over $2.4M in JobsOhio-Ohio Southeast Site Initiative grants (April 2022 release), described as a third-generation family-owned local construction and manufactured-home retail company. No employee count, Form 5500 or directory listing was found; a rural family retailer with no pension filing is almost certainly under 100.",
1: $1M+,"Stanley Black & Decker, Inc. (via Consolidated Aerospace Manufacturing; CAM was Tinicum-owned until Feb 2020)",2026129,0.17%,business,5000+,CT,B,VOSS INDUSTRIES LLC,https://www.sec.gov/Archives/edgar/data/93556/000009355621000008/swk-20210102.htm,"Voss was bought from its ESOP in Sept 2014 by Consolidated Aerospace Manufacturing (CAM), a Tinicum private equity portfolio company, which Stanley Black & Decker (New Britain, CT; about 53,100 employees) acquired for $1.46B on Feb 24, 2020, inside the FY2020 grant year. During the FY2019 grant the owner was PE-backed CAM, whose group headcount was not published; Voss alone had 170-291 Form 5500 participants.",
1: $1M+,Topre Corporation,2025000,0.17%,business,5000+,Japan,C,TOPRE AMERICA CORPORATION,https://www.topre.co.jp/en/company/profile.html; https://www.jobsohio.com/newsroom/news-press/automotive-supplier-topre-goes-big-on-second-expansion,"Topre America is the Springfield subsidiary of Tokyo-listed Topre Corporation; the company profile lists 6,860 consolidated employees as of March 2026, and the Springfield plant alone had 920 Form 5500 participants in 2019 and 580 retained jobs. A grant-year (2018-2022) consolidated figure was not fetched, so the 5000+ bucket rests on the 2026 count.",
1: $1M+,"Loc Performance Products, LLC",2007102,0.17%,business,500-4999,MI,B,LOC PERFORMANCE PRODUCTS LLC,https://www.prnewswire.com/news-releases/loc-performance-adds-capacity-for-trackman-in-st-marys-facility-301764105.html; https://www.jobsohio.com/newsroom/news-press/defense-contractor-loc-performance-products-to-create-250-new-jobs-in-auglaize-county,"Plymouth, Michigan defense and ag-track maker with more than 980 employees (Feb 2023 release) that bought Continental's St. Marys plant in Dec 2021 and committed 250 new jobs plus 450 retained. The EIN maps to CP Prime Holdings, L.P., a Form D filer c/o The Carlyle Group (sec.gov CIK 1837752), so the operating company is treated as the parent with Carlyle as private-equity owner.",
1: $1M+,"ProMedica Health System, Inc.",2000000,0.17%,hospital,5000+,OH,B,ProMedica Health System Inc,"Form 5500 participants 19,307 (2019) for EIN 341517671; https://en.wikipedia.org/wiki/ProMedica","Toledo-based nonprofit health system founded 1986; its own retirement plan had 16,527 participants in 2015 and 19,307 in 2019, and the 2018 HCR ManorCare acquisition pushed total headcount well above that. Grant was a Revitalization Grant and Loan for the downtown Toledo headquarters project (900 jobs retained).",
1: $1M+,Nanogate SE,2000000,0.17%,business,500-4999,Germany,C,NANOGATE NORTH AMERICA,https://de.wikipedia.org/wiki/Nanogate,"Nanogate North America (Nanogate Jay Systems, the former Jay Plastics of Mansfield) was the US arm of Nanogate SE of Goettelborn, Germany, which had 1,209 employees in 2017 and about 400 in Mansfield; the $2 million JobsOhio grant funded a Mansfield R&D center announced April 2018. Nanogate SE filed for insolvency in June 2020 and its core business went to Techniplas in 2021, so ownership changed right at the end of the grant years.",
1: $1M+,Terrex Development & Construction (Uptown Gateway),2000000,0.17%,site_development,<100,OH,D,UPTOWN SEQ HOLDINGS LLC,https://terrexllc.com/about/,"SEQ matches the southeast quadrant of MLK Drive and Reading Road in Cincinnati, the 5.8-acre Uptown Gateway site developed by Cincinnati-based Terrex (founded 2014) with Messer Construction; the asterisk in JobsOhio's metrics marks it as a project entity. No source was found that names Uptown SEQ Holdings LLC's owner directly, and Terrex publishes no headcount, so parent and size are inferred.",
1: $1M+,Swagelok Company,2000000,0.17%,business,5000+,OH,B,SWAGELOK MANUFACTURING COMPANY LLC,"Form 5500 participants 5,777 (2019) for sponsor Swagelok Company; https://en.wikipedia.org/wiki/Swagelok","Swagelok Manufacturing Company LLC is a unit of privately held Swagelok Company of Solon, founded in Cleveland in 1947, with over 5,700 associates; JobsOhio's own report shows 5,237 jobs retained on this grant. The company is private, so no SEC figure exists.",
1: $1M+,Connect Realty (Connect Housing Blocks),2000000,0.17%,site_development,<100,OH,C,3251 WESTERVILLE RD LLC,https://www.financefund.org/wp-content/uploads/2022/12/Connect-Housing-Blocks.pdf,"Address-named LLC for the former 500,000 sq ft retail site at 3251 Westerville Road, converted into a modular-home factory by Connect Housing Blocks, a subsidiary of Columbus developer Connect Realty (founder Brad DeHays), with a 300-job target. The factory was a startup at the 2023 grant, so the <100 bucket reflects the developer, not the planned jobs.",
1: $1M+,Grupo Plastilene S.A.S.,2000000,0.17%,business,500-4999,Colombia,D,PLASTILENE INC,https://www.wosu.org/2023-06-08/major-food-packaging-company-opens-first-location-washington-court-house-ohio,"Plastilene Inc. is the first US operation of Bogota-based Grupo Plastilene, which runs plants in Colombia, Ecuador and Guatemala and committed 58 R&D jobs and about $41-48 million in Washington Court House. No source giving the group's worldwide headcount was found (company site, JobsOhio release, WOSU and Dayton Development Coalition checked), so the bucket is a guess for a multi-country packaging manufacturer.",
1: $1M+,Orlando Baking Company (with developer Weston Inc.),2000000,0.17%,site_development,100-499,OH,B,PROJECT BORON LLC,https://thelandcle.org/stories/despite-empty-land-companies-see-improvements-along-opportunity-corridor-with-promises-of-more-to-come/,"Project Boron is the 156,000 sq ft Cleveland Cold Storage building on Broadway Avenue, built by Cleveland industrial developer Weston Inc. for family-owned Orlando Baking (about 330 employees in 2023) with a $2 million JobsOhio Ohio Site Inventory Program grant. The city's community benefits page lists the entity as Boron Orlando Baking Co., LLC - Weston, Inc., so Weston co-owns the vehicle.",
1: $1M+,Union Home Mortgage Corp.,2000000,0.17%,business,500-4999,OH,B,UNION HOME MORTGAGE CORP,"https://northeastohioregion.com/news/union-home-mortgage-to-expand/; Form 5500 participants 1,590 (2023)","Privately held Strongsville mortgage lender with 1,300+ employees in July 2020 and 1,590 plan participants in 2023; the Revitalization Grant supported reuse of a vacant Strongsville building as its headquarters with 450 new jobs promised. Company materials describe it as Strongsville-based but the fetched sources do not state where it was founded.",
1: $1M+,"Hull & Associates (John Hull), now Verdantas",1994151,0.17%,site_development,100-499,OH,D,URBAN RENEWABLES II LLC,https://www.verdantas.com/about,"Urban Renewables II LLC is the brownfield redevelopment vehicle for the former Caraustar paperboard site in Rittman, taken over in 2012 by Ohio environmental firm Hull & Associates and its subsidiary, with John Hull listed as contact; Hull later merged into Verdantas (2,800 staff today). No grant-year headcount for Hull & Associates was found, so the bucket is a guess for a mid-size regional consultancy.",
1: $1M+,Marathon Petroleum Corporation,1950000,0.17%,business,5000+,OH,C,Marathon Petroleum Corporation | SPEEDWAY LLC,"Marathon Petroleum is a Fortune 500 refiner headquartered in Findlay, Ohio, with tens of thousands of employees; well-established public company | https://www.sec.gov/Archives/edgar/data/1510295/000151029519000014/mpc-20181231x10k.htm","Marathon Petroleum (Findlay, OH) 10-K reports 60,350 employees at Dec. 31, 2018, including 40,230 in the Speedway retail segment. Speedway was sold to 7-Eleven (Irving, TX) on May 14, 2021, inside the last grant year, so the FY2021 payment may have landed after the sale; JobsOhio metrics show 1,175 jobs retained at Enon. | Marathon Petroleum Corporation is itself the recipient and its own parent, a publicly traded (NYSE: MPC) refiner headquartered in Findlay, Ohio since its 2011 spin-off from Ma",
1: $1M+,Stonemont Financial Group,1950000,0.17%,site_development,<100,GA,C,SFG COLUMBUS PARSONS LLC,https://stonemontfinancial.com/team/,"SFG Columbus Parsons LLC is the Stonemont subsidiary building the three-building, 859,240 sq ft speculative Castings Commerce Park on the former Buckeye Steel/Columbus Castings site at 2211 Parsons Avenue; Stonemont is an Atlanta industrial developer whose team page lists 96 people. The headcount is a 2026 website roster, not a 2023 figure.",
1: $1M+,"UGN, Inc. (joint venture of Autoneum Holding AG and Nihon Tokushu Toryo)",1916261,0.16%,business,500-4999,IL,B,UGN INC,"Form 5500 participants 1,886 (2019) for sponsor UGN, Inc.; https://ugn.com/about/","UGN is a Tinley Park, Illinois acoustic-parts maker formed in 1986 as a partnership of Nittoku (Japan) and what is now Autoneum (Switzerland); neither partner is treated as sole parent, and Autoneum alone has about 16,000 employees. Grants supported the Monroe, Ohio plant (opened 2015, 111-job expansion 2018).",
1: $1M+,STERIS plc,1850000,0.16%,business,5000+,Ireland,A,STERIS CORPORATION,"https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001757898&type=10-K; Form 5500 participants 8,647 (2019)","Steris Corporation of Mentor is the US operating subsidiary of SEC registrant STERIS plc, which reported roughly 12,000-13,000 employees in its FY2016-FY2020 10-Ks; the parent was UK-domiciled from 2015 and Ireland-domiciled from 2019 after tax inversions, while executive operations stayed in Mentor. Founded in Ohio in 1985, so a reader may fairly call this an Ohio company with a foreign legal address.",
1: $1M+,"Otsuka Holdings Co., Ltd.",1850000,0.16%,business,5000+,Japan,C,CIL ISOTOPE SEPARATIONS LLC | PHARMAVITE LLC,"Form 5500 participants 4,912 (2023) for sponsor Otsuka America, Inc.; https://en.wikipedia.org/wiki/Otsuka_Holdings | https://en.wikipedia.org/wiki/Otsuka_Pharmaceutical","Otsuka group company list names CIL Isotope Separations LLC (Xenia isotope plant) alongside its parent Cambridge Isotope Laboratories, both Otsuka subsidiaries. Wikipedia lists 5,634 employees for Otsuka Pharmaceutical alone in 2017, so the Tokyo-based holding company is well above 5,000. | Pharmavite (Nature Made) of West Hills, California has been owned by Tokyo-based Otsuka since 1989; its US plan is sponsored by Otsuka America with 4,912 participants and the Otsuka group employs tens of thou",
1: $1M+,Southgate Corporation,1850000,0.16%,site_development,<100,OH,D,SOUTHGATE COMPANY LIMITED PARTNERSHIP,https://www.southgatecorporation.com/,"Southgate Company LP is a partnership of Southgate Corporation, a Newark, Ohio industrial-park developer founded 1953, which received an OSIP grant for an 84,000 sq ft speculative building at 33 Innovation Park in Marysville (Nov 2020). The company publishes no headcount; the <100 bucket is a guess for a regional developer.",
1: $1M+,Alkermes plc,1800000,0.15%,business,500-4999,Ireland,A,ALKERMES INC,"https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001520262&type=10-K; Form 5500 participants 2,336 (2019)","Alkermes Inc. (Wilmington plant) is the US subsidiary of Dublin-based SEC registrant Alkermes plc, whose 10-Ks report about 2,000-2,300 employees across 2017-2021; the EDGAR HQ state MA reflects the Waltham US base. Founded 1987 in Massachusetts.",
1: $1M+,"COTSWORKS, Inc.",1800000,0.15%,business,100-499,OH,B,COTSWORKS LLC,"Form 5500 participants 105 (2019) and 108 (2023) for sponsor COTSWORKS, Inc.","Highland Heights fiber-optic maker, an EDGAR Form D filer, with 105-108 plan participants and 73 jobs retained, so it sits at the line between <100 and 100-499. The company was acquired by Moog Inc. (NY) at a date not verified here, which may postdate the 2024 grant year.",
1: $1M+,Bread Financial Holdings (formerly Alliance Data Systems),1750000,0.15%,business,5000+,OH,A,ADS ALLIANCE DATA SYSTEMS,"https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001101215&type=10-K; Form 5500 participants 20,130 (2019)","ADS Alliance Data Systems is the Columbus card-services unit of Alliance Data, renamed Bread Financial in 2022, whose 10-Ks show roughly 20,000 employees in 2017 and about 7,500 in 2022. Headquarters was Plano, Texas at the 2017 grant and moved to Columbus in 2019, so the OH label applies to the 2022 grant only.",
1: $1M+,"Belcan, LLC",1750000,0.15%,business,5000+,OH,B,BELCAN LLC,"Form 5500 participants 5,320 (2019) and 8,048 (2023) for sponsor Belcan, LLC; https://en.wikipedia.org/wiki/Belcan","Cincinnati (Blue Ash) engineering services firm founded 1958 with about 10,000 employees, owned by private-equity firm AE Industrial Partners from 2015 until Cognizant bought it in August 2024, after the grant years. Resolved to the operating company per the PE rule.",
1: $1M+,"Quantum Health, Inc.",1700000,0.14%,business,500-4999,OH,B,QUANTUM HEALTH INC,"Form 5500 participants: 990 (2019), 2,101 (2023); JobsOhio metrics jobs_retained 1,099","Founded in Columbus in 1999 by Kara Trott and headquartered in Dublin, OH; Great Hill Partners bought a majority stake in 2017 and Warburg Pincus made a significant investment in November 2020 (PE owners). Form 5500 counts and 1,099 retained jobs put the company at roughly 1,000 to 2,000 employees in the grant years.",
1: $1M+,NorthPoint Development,1700000,0.14%,site_development,500-4999,MO,B,NP DAYTON BUILDING VIII | NP FTC LLC,https://news.google.com/rss/search?q=%22NorthPoint+Development%22+Dayton | https://news.google.com/rss/search?q=NorthPoint+Development+Kansas+City,"Entity name and Riverside, MO address match NorthPoint Development, a national industrial real-estate developer headquartered there; local coverage describes its spec commerce-center buildings near Dayton. | The Kansas City, MO address and the 'NP___LLC' naming convention match NorthPoint Development, a Kansas City-area industrial real-estate developer that uses this pattern for project entities, but no release ties this specific LLC to a named Ohio site.",
1: $1M+,"Koch Foods, Inc.",1669900,0.14%,business,5000+,IL,B,KOCH FOODS OF CINCINNATI,https://www.forbes.com/companies/koch-foods/,"Privately held poultry processor based in Park Ridge, IL, founded 1973, with about 14,000 employees per Forbes; Form 5500 for Koch Foods, Inc. shows 5,215 participants in 2019 and 6,790 in 2023. The grant supported a $220 million expansion of the Fairfield, OH plant announced in 2021 (Journal-News).",
1: $1M+,Magna International Inc.,1668941,0.14%,business,5000+,Canada,A,MAGNA SEATING OF AMERICA INC,https://www.sec.gov/Archives/edgar/data/749098/000119312522085474/d256677dex1.htm,"Magna Seating of America (Novi, MI) is a subsidiary of Magna International, Aurora, Ontario, whose 2021 Annual Information Form (filed with the 40-F) reports more than 158,000 employees. JobsOhio metrics show 390 jobs retained at the Ohio seating plant.",
