why_listed,company,paid,size,ohio_hq,hq_where,confidence,basis,source,your_answer
Paid $1M or more,"Quantum Health, Inc.",1700000,Large,Yes,OH,High,"Founded in Columbus in 1999 by Kara Trott and headquartered in Dublin, OH; Great Hill Partners bought a majority stake in 2017 and Warburg Pincus made a significant investment in November 2020 (PE owners). Form 5500 counts and 1,099 retained jobs put the company at roughly 1,000 to 2,000 employees i","Form 5500 participants: 990 (2019), 2,101 (2023); JobsOhio metrics jobs_retained 1,099",
Paid $1M or more,"Koch Foods, Inc.",1669900,Large,No,IL,High,"Privately held poultry processor based in Park Ridge, IL, founded 1973, with about 14,000 employees per Forbes; Form 5500 for Koch Foods, Inc. shows 5,215 participants in 2019 and 6,790 in 2023. The grant supported a $220 million expansion of the Fairfield, OH plant announced in 2021 (Journal-News).",https://www.forbes.com/companies/koch-foods/,
Paid $1M or more,Magna International Inc.,1668941,Large,No,Canada,High,"Magna Seating of America (Novi, MI) is a subsidiary of Magna International, Aurora, Ontario, whose 2021 Annual Information Form (filed with the 40-F) reports more than 158,000 employees. JobsOhio metrics show 390 jobs retained at the Ohio seating plant.",https://www.sec.gov/Archives/edgar/data/749098/000119312522085474/d256677dex1.htm,
Paid $1M or more,"Upstart Holdings, Inc.",1652858,Large,No,CA,High,"Upstart Network is the operating subsidiary of Nasdaq-listed Upstart Holdings, headquartered in San Mateo, CA, with its second office in Columbus. The FY2021 10-K reported about 1,500 employees at Dec. 31, 2021, consistent with 2,060 Form 5500 participants in 2023.","Upstart Holdings FY2023 10-K (filed 2024-02-15): ""As of December 31, 2023, we had 1,388 full-time employees.""",
Paid $1M or more,"Supply Line International Medical, LLC",1612500,Small,No,MI,Best guess,"Privately held Novi, MI distributor of medical supplies (syringes, gloves, COVID tests) founded in 2013 by Josh and Darryl Kaplan and Max Cornfield alongside SLI Automotive; named a Michigan SBDC Best Small Business in 2022 and put into receivership in 2025 (Crain's Detroit). No Ohio project or Jobs",https://www.crainsdetroit.com/manufacturing/supply-line-international-medical-llc-put-receivership/,
Paid $1M or more,"BDO USA, P.C.",1594318,Large,No,IL,High,"Chicago-based accounting firm (then BDO USA, LLP; now a P.C., which is why the EIN shows as an SEC registrant); Form 5500 participants of 9,873 in 2019 and Forbes' 12,000 employees put it well over 5,000. The grant went to a Columbus office; JobsOhio metrics show 0 jobs retained, so this was a new-j","Form 5500 participants: 6,687 (2015), 9,873 (2019), 14,565 (2023)",
Paid $1M or more,The Procter & Gamble Company,1591850,Large,Yes,OH,High,"Distribution subsidiary of The Procter & Gamble Company (NYSE: PG), Cincinnati, whose FY2015 10-K reports 110,000 employees as of June 30, 2015. P&G was founded in Cincinnati in 1837; no JobsOhio metrics row matched this $1M FY2015 grant.",https://efts.sec.gov/LATEST/search-index?q=%22iMFLUX%22&forms=10-K,
Paid $1M or more,Kohl's Corporation,1580970,Large,No,WI,High,"Kohl's FY2022 10-K reports an average of about 97,000 associates and lists a 1.3 million square foot e-fulfillment center opened in Etna, OH in 2021, the likely subject of the grant. Headquarters Menomonee Falls, WI.",https://www.sec.gov/Archives/edgar/data/885639/000095017023008444/kss-20230128.htm,
Paid $1M or more,"Post Holdings, Inc.",1534013,Large,No,MO,High,"Comet Processing, Inc. (Delaware) appears in Post Holdings' FY2023 10-K Exhibit 21 as a subsidiary and as a d/b/a of Michael Foods, Inc.; Post (St. Louis, MO) reported 11,430 employees as of November 1, 2023. The specific Ohio project behind the FY2023 Economic Development Grant (0 jobs retained, so",https://www.sec.gov/Archives/edgar/data/1530950/000153095020000326/post-20200930.htm,
Paid $1M or more,Kao Corporation,1517314,Large,No,Japan,Best guess,"Kao USA (formerly the Andrew Jergens Company, Cincinnati) has been owned by Tokyo-based Kao Corporation since 1988; Kao reports about 33,400 consolidated employees. Kao USA's own Form 5500 shows 949 participants in 2019 and JobsOhio metrics show 521 jobs retained at the Cincinnati plant that receive",https://en.wikipedia.org/wiki/Kao_Corporation,
Paid $1M or more,"Intelligrated, Inc.",1500000,Large,Yes,OH,High,"Mason, OH warehouse-automation maker founded in 2001; during the FY2016 grant year it was owned by private-equity firm Permira (since 2012) and had about 3,200 employees worldwide (Transport Topics, July 2016). Honeywell agreed to buy it for $1.5 billion in July 2016 and closed in August 2016, after",https://www.ttnews.com/articles/honeywell-acquire-warehouse-automation-firm-intelligrate-15-billion,
Paid $1M or more,Milacron Holdings Corp.,1500000,Large,Yes,OH,High,"Milacron Holdings' 2015 10-K reports headquarters in Cincinnati, OH and 5,551 employees worldwide; the company traces to 1860 in Cincinnati. It went public in June 2015 with CCMP Capital as majority owner; the EDGAR HQ state of IN reflects the November 2019 acquisition by Hillenbrand (Batesville, IN",https://www.sec.gov/Archives/edgar/data/1637913/000162828016012117/mcrn12311510k.htm,
Paid $1M or more,Schaeffler AG,1500000,Large,No,Germany,Best guess,"LuK is a Schaeffler Group brand (Herzogenaurach, Germany), which reported roughly 90,000 employees in its 2017 annual report and 120,000 in 2023. JobsOhio metrics show 1,767 jobs retained at the LuK USA transmission-component plant in Wooster. Graded C: Wikipedia is the only source.",https://en.wikipedia.org/wiki/Schaeffler_Group,
Paid $1M or more,"Menard, Inc.",1500000,Large,No,WI,High,"Privately held home-improvement chain headquartered in Eau Claire, WI, founded 1958, with about 45,000 employees per Forbes; Form 5500 shows 36,286 participants in 2019. The Ohio project is not in the JobsOhio metrics extract.",https://www.forbes.com/companies/menard/,
Paid $1M or more,"Nottingham-Spirk Design Associates, Inc.",1500000,Small,Yes,OH,High,"Independent Cleveland product-design and innovation firm founded in 1972 by John Nottingham and John Spirk; Form 5500 participants under 75 and 53 retained jobs put it under 100 employees. The $1.5 million was a Research & Development Grant, unusual for a firm this size.","Form 5500 participants: 60 (2015), 67 (2019), 71 (2023); JobsOhio metrics jobs_retained 53",
Paid $1M or more,Charoen Pokphand Foods (CP Foods),1490504,Large,No,Thailand,Best guess,"Bellisio Foods (formerly Luigino's, the EDGAR registrant) is headquartered in Minneapolis, MN and was acquired by Thailand's CP Foods for $1.08 billion in late 2016; CP Foods employs well over 100,000 worldwide. At the time of the 2015 grant, Bellisio was owned by private equity firm Centre Partners",https://en.wikipedia.org/wiki/Bellisio_Foods,
Paid $1M or more,RXQ Compounding LLC,1450000,Small,Yes,OH,High,"Independent 503B outsourcing pharmacy in Athens, OH; Form 5500 participant counts of 16 (2019) and 25 (2023) and JobsOhio's 17 jobs retained on a Workforce Grant all point to a company under 100 employees. No parent found.",https://www.rxqcompounding.com/,
Paid $1M or more,LEL Operating Company (Superior Dairy),1400000,Small,Yes,OH,High,"Canton, OH holding company for Superior Dairy (founded 1922 in Canton), Creative Edge Design Group and LEL Logistics; JobsOhio lists 298 jobs retained and Form 5500 shows 270 participants in 2019. Sold to Michigan Milk Producers Association (Novi, MI) effective Dec. 31, 2021, after the FY2020 grant.",https://www.dairyreporter.com/Article/2021/12/07/Michigan-Milk-Producers-Association-to-acquire-Superior-Dairy/,
Paid $1M or more,Middle West Spirits LLC,1300000,Small,Yes,OH,Best guess,"Independent craft distillery founded in Columbus in 2008 by Brady Konya and Ryan Lang, building a new 100,000+ sq ft distillery campus with JobsOhio Economic Development and Revitalization grants. JobsOhio lists 166 jobs retained but the 2023 Form 5500 shows only 32 plan participants, so headcount m",https://middlewestspirits.com/,
Paid $1M or more,PACCAR Inc,1300000,Large,No,WA,High,"Nasdaq-listed truck maker headquartered in Bellevue, WA; FY2021 10-K reported about 28,800 employees worldwide, and Form 5500 shows 15,000-16,500 participants. Grants supported the Kenworth plant in Chillicothe (2,344 jobs retained).",https://www.sec.gov/Archives/edgar/data/75362/000156459022006237/0001564590-22-006237-index.htm,
Paid $1M or more,Union Metal Industries Corporation,1250000,Small,Yes,OH,High,"Canton light-pole maker (founded 1906) re-formed in May 2018 when New York industrial investment firm American Industrial Acquisition Corp (AIAC, 8,000+ employees across its portfolio) bought the bankrupt Union Metal Corp; treated as PE-style ownership so the operating company is the parent. AIAC pl",https://northeastohioregion.com/news/union-metal/,
Paid $1M or more,"LEWCO, Inc.",1250000,Small,Yes,OH,Best guess,"Privately held conveyor and industrial oven manufacturer headquartered at 706 Lane Street, Sandusky, OH with three north central Ohio locations. JobsOhio lists 467 jobs retained and Form 5500 shows 186 (2019) to 369 (2023) participants, supporting 100-499; no parent found.",https://www.lewcoinc.com/about-us,
Paid $1M or more,"Green Circle Growers, Inc.",1250000,Large,Yes,OH,Best guess,"Family-owned greenhouse in Oberlin, OH operating for over 50 years with 150+ acres under glass; the company site cites over 800 employees and Form 5500 shows 880 participants in 2023, with JobsOhio listing 692 jobs retained. No outside parent.",https://www.greencirclegrowers.com/about,
Paid $1M or more,"Trew, LLC",1237397,Small,Yes,OH,Best guess,"Privately held material handling systems maker formed in 2018 in the Cincinnati area by former Intelligrated executives, headquartered in West Chester/Fairfield, OH with a plant in Guelph, Canada. The 2023 Form 5500 shows 415 participants and JobsOhio lists 220 jobs retained; no published headcount ",https://www.trewautomation.com/about,
Paid $1M or more,Whirlpool Corporation,1200000,Large,No,MI,High,"NYSE-listed appliance maker headquartered in Benton Harbor, MI; the FY2020 10-K reported about 78,000 employees (about 97,000 in FY2015), and Form 5500 shows 28,000-31,000 participants. Grants supported the Findlay, Clyde, Marion and Ottawa plants (2,175 jobs retained).",https://www.sec.gov/Archives/edgar/data/106640/000010664021000022/0000106640-21-000022-index.htm,
Paid $1M or more,Campbell Soup Company,1147315,Large,No,NJ,High,"Supply-chain subsidiary of Campbell Soup Company (NYSE: CPB), Camden, NJ, whose FY2017 10-K reports approximately 18,000 employees; the JobsOhio workforce grant supported the Napoleon, OH plant, where 1,382 jobs were retained.",https://www.sec.gov/Archives/edgar/data/16732/000001673217000058/cpb-7302017x10xk.htm,
Paid $1M or more,"Ohio Logistics, Ltd.",1110000,Small,Yes,OH,Best guess,Privately held Findlay third-party logistics firm (CEO Chuck Bills) that began in a single Findlay warehouse in June 1988 and now runs about 25 sites in several states; LinkedIn lists 201-500 employees and the company says 'over 400 associates.' The 2018 grant was a $110K economic development grant ,https://www.linkedin.com/company/ohio-logistics,
Paid $1M or more,Univar Solutions Inc.,1100001,Large,No,IL,High,"Operating subsidiary of Univar Solutions Inc. (NYSE: UNVR until 2023), Downers Grove, IL, whose 2019 10-K reports about 10,300 full-time-equivalent employees worldwide; Form 5500 shows 5,850 participants in 2019 and 8,613 in 2023. Apollo Funds took Univar private in August 2023, so the FY2024 grant ",https://www.sec.gov/Archives/edgar/data/1494319/000149431920000009/unvr-20191231.htm,
Paid $1M or more,"MadTree Brewing, LLC",1100000,Small,Yes,OH,Best guess,"Independent Cincinnati craft brewer founded in 2013 that filed a 2012 Form D with the SEC listing a Cincinnati address; the 2017 Revitalization Grant and loan funded its Oakley brewery and taproom, where JobsOhio recorded 31 retained jobs. The company site and LinkedIn page could not be fetched, so ",https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001541962,
Paid $1M or more,"Mar-Bal, Inc.",1100000,Small,Yes,OH,High,"Private thermoset composite molder founded 1970 and headquartered in Chagrin Falls, OH, with four North American plants (Painesville, OH among them) and a China facility; Form 5500 shows 510 participants in 2015 and 521 in 2019, counts that include former employees with balances, and LinkedIn lists ",https://www.linkedin.com/company/mar-bal-inc,
Paid $1M or more,The Chilcote Company,1100000,Small,Yes,OH,High,"Privately held Cleveland maker of photo mounts and specialty packaging; its own Form 5500 plan shows 436 participants in 2015, 315 in 2019 and 155 in 2023, and JobsOhio recorded 120 retained jobs for the 2020 grant. No parent found; the LinkedIn page understates the company at 2-10 employees, so the",https://www.chilcotecompany.com/,
Paid $1M or more,"ISSQUARED, Inc.",1100000,Small,No,CA,Best guess,"Private IT services firm founded 2010 in Simi Valley, CA, headquartered in Westlake Village, CA, with offices in India, the UK, Singapore and the Middle East; Team NEO's December 2020 release on its Solon, OH security operations center promised 109 new jobs. Form 5500 shows only 36 US participants i",https://www.issquaredinc.com/about-us,
Paid $1M or more,"M&M Industries, Inc.",1089346,Large,No,TN,Best guess,"Ohio affiliate of M&M Industries, Inc., the privately held Chattanooga, TN plastic pail and container maker whose EIN this is; the Form 5500 plan sponsored by M & M Industries Inc shows 280 participants in 2015, 400 in 2019 and 503 in 2023, which includes former employees. The company site could not",https://www.mmindustries.com/,
Paid $1M or more,KIRCHHOFF Automotive GmbH (KIRCHHOFF Group),1060911,Large,No,Germany,Best guess,"Waverly, OH stamping plant of KIRCHHOFF Automotive, the largest division of the family-owned KIRCHHOFF Group of Iserlohn, Germany (automotive division based in Attendorn), which employs roughly 13,000 people worldwide with several thousand in the automotive unit alone. JobsOhio recorded 230 retained",https://de.wikipedia.org/wiki/Kirchhoff_Gruppe,
Paid $1M or more,"NuVasive, Inc.",1011227,Large,No,CA,High,"West Carrollton, OH manufacturing subsidiary of NuVasive, Inc. (NASDAQ: NUVA), San Diego, whose 10-Ks report about 2,600 employees at end of 2018 and about 3,000 at end of 2022; JobsOhio recorded 97 retained jobs. Globus Medical (Audubon, PA) acquired NuVasive on September 1, 2023, so the FY2024 gra",https://www.sec.gov/Archives/edgar/data/1142596/000156459019003470/nuva-10k_20181231.htm,
Paid $1M or more,"Surgere, Inc.",1010000,Small,Yes,OH,High,"Independent supply-chain IoT software firm founded 2004, based in North Canton/Green, OH; its Form 5500 plan shows 31 participants in 2015, 43 in 2019 and 94 in 2023, and JobsOhio recorded 52 retained jobs for the 2020 grant. LinkedIn now lists 51-200 employees, so the company likely crossed 100 aft",https://www.linkedin.com/company/surgere,
Paid $1M or more,Morgan Stanley,1006031,Large,No,NY,High,"Broker-dealer subsidiary of Morgan Stanley (NYSE: MS), New York, whose 2019 10-K reports 60,431 employees worldwide; the Form 5500 plan sponsored by Morgan Stanley Domestic Holdings shows 61,784 participants in 2019. The workforce grants supported an Ohio operations site where 426 jobs were retained",https://www.sec.gov/Archives/edgar/data/895421/000089542120000265/0000895421-20-000265-index.htm,
Paid $1M or more,"Assurex Health, Inc.",1000000,Small,Yes,OH,High,"Privately held, venture-backed pharmacogenomics lab in Mason, OH (GeneSight test) that was independent during FY2016; Myriad Genetics (Salt Lake City, UT) closed its $225M acquisition on August 31, 2016, after the grant year, and filed Assurex's audited financials in a November 2016 8-K/A. Form 5500",https://www.sec.gov/Archives/edgar/data/899923/000119312516767889/d200649dex991.htm,
Paid $1M or more,"Lincoln Electric Holdings, Inc.",1000000,Large,Yes,OH,High,"Principal operating subsidiary of Lincoln Electric Holdings, Inc. (NASDAQ: LECO), Cleveland (Euclid), OH, whose 2017 10-K reports approximately 11,000 employees worldwide; Form 5500 shows 4,981 participants in 2019. Founded in Cleveland in 1895; JobsOhio recorded 2,475 retained jobs at the Euclid ca",https://www.sec.gov/Archives/edgar/data/59527/000005952718000006/leco-20171231x10k.htm,
Paid $1M or more,"Athens Mold & Machine, Inc.",1000000,Small,Yes,OH,High,"Independent Athens tire-mold maker that has owned its Mill Street plant since 1969, idled production in 2011 and reopened in 2016 with a $400,000 JobsOhio revitalization grant and a pledge of 60 jobs over three years. Form 5500 shows 68 plan participants in 2023, so the company stayed under 100 empl",https://www.athensmessenger.com/news/athens-mold-and-machine-to-reopen/article_7cddf6c6-1296-5360-a4ca-af8a23195286.html,
Paid $1M or more,Nordson Corporation,1000000,Large,Yes,OH,High,"Nordson's FY2018 10-K reports 7,536 employees, incorporation in Ohio in 1954 and headquarters in Westlake; Xaloy was Nordson's screws-and-barrels unit at the 2018 grant. Nordson sold Xaloy to Altair Investments in 2020, which is why the 2023 Form 5500 sponsor is Xaloy LLC (340 participants) and the ",https://www.sec.gov/Archives/edgar/data/72331/000156459018030928/ndsn-10k_20181031.htm,
Paid $1M or more,"Franklin International, Inc.",1000000,Small,Yes,OH,High,Privately owned Titebond adhesives maker founded in Columbus in 1935 and still headquartered at 2020 Bruck Street; Form 5500 shows 385 plan participants in 2019 and JobsOhio counted 372 retained Ohio jobs for the 2019 R&D grant. The company site now says 500+ employees (2025) and the 2023 plan count,https://www.franklininternational.com/about,
Paid $1M or more,Stewart-MacDonald Manufacturing Co. (StewMac),1000000,Small,Yes,OH,High,"Athens-based guitar-repair tools and parts maker founded in 1968, privately held with no JobsOhio metrics record for these grants. Form 5500 participants rose from 89 (2019) to 139 (2023), so the company was near the 100-employee line in the 2019 grant year and above it by 2021.",https://www.stewmac.com/about-us/,
Paid $1M or more,Huntington Bancshares Incorporated,1000000,Large,Yes,OH,High,"The bank is the subsidiary of Columbus-headquartered Huntington Bancshares, whose 2022 10-K reports 19,920 average full-time equivalent colleagues; JobsOhio counted 4,677 retained jobs for its revitalization and workforce grants. Huntington National Bank was founded in Columbus in 1866, though the h",https://www.sec.gov/Archives/edgar/data/49196/000004919623000020/hban-20221231.htm,
Paid $1M or more,The J.M. Smucker Company,1000000,Large,Yes,OH,High,"Big Heart Pet Brands is the pet-food subsidiary Smucker bought in 2015; Smucker's FY2021 10-K reports approximately 7,100 full-time employees worldwide and headquarters in Orrville, where the company was founded in 1897. JobsOhio's own release describes Smucker as an Ohio company for 125 years.",https://www.sec.gov/Archives/edgar/data/91419/000009141921000048/sjm-20210430.htm,
Paid $1M or more,"DuPont de Nemours, Inc.",1000000,Large,No,DE,High,"Operating LLC for DuPont's Circleville Kapton film plant, which employed 500 when JobsOhio backed a $200 million expansion adding 46 jobs; the 2020 10-K reports approximately 34,000 employees worldwide at Wilmington-based DuPont de Nemours. DowDuPont became DuPont de Nemours after spinning off Dow a",https://www.jobsohio.com/newsroom/news-press/dupont-investing-in-200-million-expansion-creating-46-jobs,
Paid $1M or more,ExactCare Pharmacy LLC (Nautic Partners portfolio company),1000000,Small,Yes,OH,High,Valley View home-delivery pharmacy for chronically ill patients; Form 5500 shows 356 plan participants in 2019 and JobsOhio counted 185 retained jobs for the 2020 grants. Private-equity firm Nautic Partners invested in 2016 and later merged ExactCare with Tabula Rasa HealthCare in 2023 to form AnewH,https://www.exactcarepharmacy.com/about/,
Paid $1M or more,"Toyodenso Co., Ltd.",1000000,Large,No,Japan,High,"JobsOhio's release says Weastec employed 184 people at its Dublin and Hillsboro sites and operates as a subsidiary of Japanese electrical-components maker Toyodenso Co., Ltd., a Honda supplier. Weastec's own site says Toyodenso employs more than 10,000 associates globally; the Form 5500 count of 177",https://weastec.com/about/about-toyodenso/,
Paid $1M or more,"Root, Inc.",1000000,Large,Yes,OH,High,"Columbus-headquartered auto insurer that went public in 2020; the 2021 10-K reports 1,571 full-time employees at December 31, 2021, followed by a 20 percent workforce reduction in January 2022. JobsOhio's release describes Root as conceived in Ohio, and Caret Holdings is its Form 5500 sponsor (1,286",https://www.sec.gov/Archives/edgar/data/1788882/000162828022003524/root-20211231.htm,
Paid $1M or more,American Family Mutual Insurance Company (AmFam),1000000,Large,No,WI,Best guess,"Columbus insurtech founded in 2016 and acquired by Madison, Wisconsin-based American Family Insurance in January 2021 (Business Wire, Columbus Dispatch), a year before the fiscal 2022 grant; AmFam's fast facts list about 13,500 employees for 2022. Bold Penguin itself had 78 retained Ohio jobs and 45",https://en.wikipedia.org/wiki/American_Family_Insurance,
Paid $1M or more,"Case Farms (Case Foods, Inc.)",1000000,Large,No,NC,High,"Privately held poultry processor headquartered in Troutman, North Carolina, whose four plants in Ohio and North Carolina employed more than 3,000 people per ProPublica's 2017 investigation; JobsOhio counted 346 retained jobs at the Winesburg plant for the $101.6 million expansion. Founder Thomas She",https://www.casefarms.com/about-us,
Paid $1M or more,"AquaBounty Technologies, Inc.",1000000,Small,No,MA,High,"Project subsidiary for the genetically engineered salmon farm AquaBounty began building in Pioneer, Ohio; the Maynard, Massachusetts parent's 2023 10-K reports 104 team members at December 31, 2023. The same 10-K says the Pioneer farm was about 30 percent complete with construction paused, so the gr",https://www.sec.gov/Archives/edgar/data/1603978/000160397824000013/aqb-20231231x10k.htm,
Paid $1M or more,Masco Corporation,1000000,Large,No,MI,High,"Behr Process Corporation (Santa Ana, CA) is the paint subsidiary of Masco Corporation (NYSE: MAS, Livonia, MI), whose 2023 10-K reports approximately 18,000 employees at December 31, 2023. The grant supported Behr's new paint plant and warehouse in Heath, Licking County, opened April 2024 (WHIZ: whi",https://www.sec.gov/Archives/edgar/data/62996/000006299624000006/mas-20231231.htm,
Paid $1M or more,"Bullen Ultrasonics, Inc.",1000000,Small,Yes,OH,High,"Independent, family-owned ultrasonic machining company founded in Eaton, Ohio in 1971; the January 2023 JobsOhio release announced a $1 million R&D Center Grant for a $14 million expansion of its Eaton Technology Development Center. Form 5500 shows 169 plan participants in 2023 and JobsOhio lists 12",https://www.jobsohio.com/newsroom/news-press/bullen-ultrasonics-investing-in-ohio-based-rd-facility-expansion,
Paid $1M or more,"Forge Biologics, Inc.",1000000,Small,Yes,OH,High,"Venture-backed gene therapy CDMO founded in Columbus in 2020; during the FY2023 grant year it was independent, and its November 2023 release says the Columbus facility had over 300 employees (Form 5500: 298 participants in 2023). Ajinomoto Co. (Japan) agreed to acquire Forge for $620 million in Nove",https://www.forgebiologics.com/ajinomoto-co-inc-to-acquire-forge-biologics-for-620-million1/,
Paid $1M or more,"General Mills, Inc.",1000000,Large,No,MN,High,"Public company (NYSE: GIS) headquartered in Minneapolis; the fiscal 2023 10-K reports approximately 34,000 employees as of May 28, 2023. The grant supported a $100 million expansion of the Wellston, Jackson County Totino's plant (974 retained jobs, 30 new) announced by JobsOhio in August 2022.",https://www.sec.gov/Archives/edgar/data/40704/000119312523177500/d523469d10k.htm,
Paid $1M or more,"LG Chem, Ltd.",1000000,Large,No,South Korea,Best guess,"LG Chem America, Inc. (Atlanta) is the US subsidiary of LG Chem, Ltd., Seoul, whose website lists 17,389 employees (12,943 in Korea, 4,446 abroad) and Wikipedia gives 20,000+ for 2022; JobsOhio metrics list a $1 million Economic Development Grant for 72 new jobs and $85.8 million at two new LG Chem ",https://en.wikipedia.org/wiki/LG_Chem,
Paid $1M or more,"J.B. Poindexter & Co., Inc.",1000000,Large,No,TX,Best guess,"Morgan Truck Body, LLC (Morgantown, PA) is a unit of privately held J.B. Poindexter & Co. (JBPCO), Houston, whose portfolio also includes Morgan Olson, Reading Truck and other manufacturers; the grant relates to Morgan's Orrville, Wayne County plant (JobsOhio metrics: 139 new jobs, $24.4 million, Ju",https://www.jbpoindexter.com/about/,
Paid $1M or more,"National Resilience, Inc.",1000000,Large,No,CA,High,"Resilience US, Inc. is the operating subsidiary of National Resilience, Inc., a venture-backed biomanufacturing CDMO headquartered in San Diego during the grant year (it moved its headquarters to Blue Ash, Ohio in June 2026). Its June 2022 Series D release reported more than 1,600 employees across 1",https://resilience.com/news/resilience-announces-625-million-series-d-financing-to-expand-network-bring-innovative-technologies-to-biomanufacturing,
"Best guess, paid $250K or more","Hanon Systems Co., Ltd.",949495,Large,No,South Korea,Best guess,"Hanon Systems USA LLC (Van Buren Township, MI) is the US subsidiary of Hanon Systems Co., Ltd., headquartered in Daejeon, South Korea, one of the world's largest auto thermal-management suppliers; Form 5500 count (319 to 669) reflects only the US entity. Graded C: Wikipedia is the only source.",https://en.wikipedia.org/wiki/Hanon_Systems,
"Best guess, paid $250K or more",Busche Performance Group,900000,Large,No,IN,Best guess,"Recipient's own address (Fort Wayne, IN) matches Busche Performance Group, a privately held forged/machined-parts manufacturer with multiple plants; no exact employee count was found.",https://news.google.com/rss/search?q=Busche+Performance+Group,
"Best guess, paid $250K or more",Phoenix International S.p.A.,900000,Large,No,Italy,Best guess,"Rule R2: own plan under 250 participants, no subsidiary marker in the name, not an SEC registrant. Subsidiary check: owned by Phoenix International S.p.A.; rule result replaced. Company site says it was acquired in 2018 by Phoenix International S.p.A. of Verdello, Italy, a multi-country extrusion di",https://www.youngstowntool.com/about,
"Best guess, paid $250K or more",Pointe Ventures LLC,900000,Small,Yes,OH,Best guess,"No news, EDGAR, or Form 5500 record surfaced for this Columbus LLC; graded from the recipient_class_auto and its own address only, since JobsOhio's own metrics fields are blank for this row.",https://news.google.com/rss/search?q=%22Pointe+Ventures%22+LLC+Ohio,
"Best guess, paid $250K or more","Fortner Upholstering, Inc.",851500,Small,Yes,OH,Best guess,"Small, independent commercial upholstery shop in Columbus; the Columbus Dispatch covered a facility move, and JobsOhio's own jobs-retained figure (37) caps its size.",https://news.google.com/rss/search?q=%22Fortner+Upholstering%22,
"Best guess, paid $250K or more",Complete Filter Media LLC,832508,Small,Yes,OH,Best guess,"No news, EDGAR, or Form 5500 record found for this Lancaster manufacturer; graded from the Revitalization Grant program and zero jobs-retained figure alone.",https://news.google.com/rss/search?q=%22Complete+Filter+Media%22,
"Best guess, paid $250K or more",Groupe Treves,800000,Large,No,France,Best guess,"Treves, Inc. (Fostoria, OH auto-parts plant) is a US subsidiary of France's Groupe Treves, an automotive interiors and acoustics supplier headquartered in Paris with about 4,600 employees across 27 plants as of 2024; exact grant-year (2018/2021) headcount was not found. Graded C: Wikipedia is the on",https://fr.wikipedia.org/wiki/Tr%C3%A8ves_(entreprise),
"Best guess, paid $250K or more",Festo SE & Co. KG,800000,Large,No,Germany,Best guess,"Festo Corporation is the US arm of Festo SE & Co. KG, a family-owned German automation company headquartered in Esslingen am Neckar; its US Form 5500 plan alone had 1,107 participants in 2023, and the global group employs well over 5,000. Graded C: Wikipedia is the only source.",https://en.wikipedia.org/wiki/Festo,
"Best guess, paid $250K or more","Stanley Electric Co., Ltd.",750000,Large,No,Japan,Best guess,"Stanley Electric US Co Inc is the London, Ohio lighting plant of Stanley Electric Co., Ltd., a publicly traded Japanese manufacturer with over 16,000 employees across 67 factories and offices in 18 countries. Graded C: Wikipedia is the only source.",https://en.wikipedia.org/wiki/Stanley_Electric,
"Best guess, paid $250K or more","Just4ConstructionCom, LLC",750000,Small,Yes,OH,Best guess,"No JobsOhio metrics, news coverage, or SEC record exists for this Strongsville, Ohio recipient, and its likely web domain now redirects to a generic landing page, so size is a best guess from the $750,000 grant with no jobs-retained figure reported.",https://www.just4construction.com,
"Best guess, paid $250K or more","STAQ Pharma, Inc.",750000,Small,No,CO,Best guess,"SEC-registered STAQ Pharma, Inc. is based in Denver, CO, same state as its Form 5500 plan sponsor QualMed Pharmacy, Inc.; news coverage describes the Columbus-area plant as still ramping toward a 300-job target, so exact grant-year headcount is uncertain.",https://news.google.com/rss/search?q=STAQ+Pharma+Denver,
"Best guess, paid $250K or more","Zenni Optical, Inc.",750000,Large,No,CA,Best guess,"The recipient's Novato, CA address matches Zenni Optical's headquarters, and a Business Journals story describes Zenni building a manufacturing hub in central Ohio; no source gave an exact worldwide employee count for this online eyewear retailer/manufacturer.",https://en.wikipedia.org/wiki/Zenni_Optical,
"Best guess, paid $250K or more","T&C Rail Holdings, Inc.",725000,Small,Yes,OH,Best guess,"No SEC filing, Form 5500, JobsOhio press release, or news story could be found for T&C Rail Holdings via EDGAR, Google News, Bing, or the JobsOhio site search; the bucket is a guess from the modest $125,000 project commitment and 40 jobs retained.",https://www.jobsohio.com/sitemap.xml,
"Best guess, paid $250K or more","Fortuity Calling, LLC",700000,Small,Yes,OH,Best guess,"Fortuity is a Franklinton (Columbus) social-enterprise call center with no external parent found; a 2019 Columbus Underground piece said it planned to employ 500, but later Dispatch/auditor coverage found many incentive-backed Ohio companies missed job commitments, so actual headcount is likely well",https://news.google.com/rss/search?q=Fortuity+Calling+Columbus+call+center,
"Best guess, paid $250K or more","Relink Medical, LLC",700000,Small,Yes,OH,Best guess,"No SEC or Form 5500 record turned up, and only one indirect news mention (Smart Business Dealmakers) was found; the $100,000 Workforce Grant and 28 jobs retained suggest a small independent medical-equipment reprocessing company, but the size is a guess.",https://news.google.com/rss/search?q=Relink+Medical+Twinsburg,
